"time","country","cum_confirm","cum_heal","cum_dead"
2020-04-16,"United States",650833,52739,32707
2020-04-15,"United States",614726,38879,26126
2020-04-14,"United States",587815,37315,23599
2020-04-13,"United States",556569,32634,22063
2020-04-12,"United States",529112,30548,20549
2020-04-11,"United States",503177,29191,18777
2020-04-10,"United States",469464,26522,16711
2020-04-09,"United States",431694,24213,14789
2020-04-08,"United States",400549,22461,12907
2020-04-07,"United States",374782,19972,11697
2020-04-06,"United States",337300,17582,9627
2020-04-05,"United States",312249,15021,8503
2020-04-04,"United States",288993,9897,7793
2020-04-03,"United States",255456,9359,6532
2020-04-02,"United States",216722,8672,5137
2020-04-01,"United States",189753,7141,4081
2020-04-16,"Spain",182816,74797,19130
2020-04-15,"Spain",177633,70853,18579
2020-04-14,"Spain",172541,67504,18056
2020-04-13,"Spain",169496,64727,17489
2020-04-12,"Spain",166019,62391,16972
2020-03-31,"United States",165764,5945,3170
2020-04-16,"Italy",165155,38092,21645
2020-04-15,"Italy",162488,37130,21067
2020-04-11,"Spain",161852,59109,16353
2020-04-14,"Italy",159516,35435,20465
2020-04-10,"Spain",157022,55668,15843
2020-04-13,"Italy",156363,34211,19899
2020-04-09,"Spain",152446,52165,15238
2020-04-12,"Italy",152271,32534,19468
2020-04-16,"France",147863,30955,17167
2020-04-11,"Italy",147577,30455,18849
2020-04-08,"Spain",146690,48021,14555
2020-03-30,"United States",143724,4865,2566
2020-04-10,"Italy",143626,28470,18279
2020-04-15,"France",143303,28805,15729
2020-04-07,"Spain",140510,43208,13798
2020-04-09,"Italy",139422,26491,17669
2020-04-14,"France",137877,28001,14986
2020-04-16,"Germany",136238,89601,3955
2020-04-08,"Italy",136162,24392,17198
2020-04-06,"Spain",135032,40437,13055
2020-04-15,"Germany",134136,84311,3619
2020-04-13,"France",133670,27186,14412
2020-04-07,"Italy",132547,22837,16523
2020-04-14,"Germany",131819,79077,3260
2020-04-05,"Spain",130759,38080,12418
2020-04-12,"France",130730,26671,13851
2020-04-13,"Germany",129627,74231,3089
2020-04-06,"Italy",128948,21815,15887
2020-04-12,"Germany",127089,69935,2904
2020-04-11,"France",125931,25195,13215
2020-03-29,"United States",124868,2612,2190
2020-04-04,"Spain",124736,34219,11744
2020-04-05,"Italy",124632,20996,15362
2020-04-11,"Germany",123488,64756,2744
2020-04-04,"Italy",120281,19758,14681
2020-04-10,"Germany",119453,59754,2580
2020-04-10,"France",118790,23465,12228
2020-04-03,"Spain",117710,30513,10935
2020-04-03,"Italy",115242,18278,13915
2020-04-09,"Germany",114747,58143,2333
2020-04-09,"France",113965,21461,10887
2020-04-02,"Italy",110574,16847,13155
2020-04-02,"Spain",110238,26743,10003
2020-04-08,"France",110070,19523,10343
2020-04-08,"Germany",109932,49136,2101
2020-04-01,"Italy",106128,15729,12443
2020-03-28,"United States",104860,894,1711
2020-04-07,"Germany",104680,43149,1821
2020-04-16,"United Kingdom",103093,1918,13729
2020-04-01,"Spain",102136,22647,9053
2020-03-31,"Italy",102106,14620,11591
2020-04-06,"Germany",101900,38154,1655
2020-04-07,"France",98984,17429,8926
2020-04-15,"United Kingdom",98476,1918,12868
2020-04-05,"Germany",97966,37542,1465
2020-03-30,"Italy",97689,13030,10779
2020-03-31,"Spain",94417,19259,8189
2020-04-14,"United Kingdom",93873,304,12107
2020-04-04,"Germany",93817,33408,1299
2020-04-06,"France",93780,16354,8093
2020-03-29,"Italy",92472,12384,10023
2020-04-05,"France",90853,15574,7574
2020-04-13,"United Kingdom",88621,622,11329
2020-03-28,"Italy",86498,10950,9134
2020-03-27,"United States",86012,753,1301
2020-03-30,"Spain",85195,16780,7340
2020-04-03,"Germany",85122,23745,1111
2020-04-12,"United Kingdom",84279,622,10612
2020-04-04,"France",83029,14135,6520
2020-03-27,"Italy",80589,10361,8215
2020-04-02,"Germany",80060,20928,986
2020-04-11,"United Kingdom",78991,588,9875
2020-03-29,"Spain",78797,14709,6528
2020-04-16,"Iran",77995,52229,4869
2020-04-15,"Iran",76389,49933,4777
2020-04-14,"Iran",74877,48129,4683
2020-04-01,"Germany",74508,18974,821
2020-03-26,"Italy",74386,9362,7503
2020-04-13,"Iran",73303,45983,4585
2020-03-28,"Spain",72248,12285,5690
2020-04-12,"Iran",71686,43894,4474
2020-04-11,"Iran",70029,41947,4357
2020-04-16,"Turkey",69392,5674,1518
2020-03-26,"United States",69197,619,1046
2020-03-25,"Italy",69176,8326,6820
2020-04-10,"Iran",68192,35465,4232
2020-03-31,"Germany",67788,17220,687
2020-04-08,"Iran",67286,29812,4003
2020-04-09,"Iran",66220,32309,4110
2020-04-10,"United Kingdom",65872,359,7993
2020-04-15,"Turkey",65111,4799,1403
2020-03-27,"Spain",64059,9357,4858
2020-03-30,"Germany",63929,10534,560
2020-03-24,"Italy",63927,7432,6077
2020-04-07,"Iran",62589,27039,3872
2020-04-09,"United Kingdom",61474,345,7111
2020-04-14,"Turkey",61049,3957,1296
2020-04-06,"Iran",60500,24236,3739
2020-03-23,"Italy",60441,7024,5476
2020-04-03,"France",59929,12548,5398
2020-03-29,"Germany",58349,9200,481
2020-04-05,"Iran",58226,22011,3603
2020-04-02,"France",57780,11055,4043
2020-04-13,"Turkey",56956,3446,1198
2020-03-26,"Spain",56188,7015,4089
2020-04-08,"United Kingdom",55949,325,6171
2020-04-04,"Iran",55743,19736,3452
2020-04-07,"United Kingdom",55242,287,6159
2020-03-25,"United States",55231,354,797
2020-03-22,"Italy",53578,6072,4825
2020-04-03,"Iran",53183,17935,3294
2020-04-01,"France",52836,9513,3532
2020-03-28,"Germany",52747,8472,380
2020-04-12,"Turkey",52167,2965,1101
2020-04-06,"United Kingdom",51608,229,5373
2020-04-02,"Iran",50468,16711,3160
2020-04-05,"United Kingdom",47806,215,4932
2020-03-25,"Spain",47610,5367,3434
2020-04-01,"Iran",47593,15473,3036
2020-03-21,"Italy",47449,5129,4032
2020-03-27,"Germany",47373,5673,285
2020-04-11,"Turkey",47029,2423,1006
2020-03-24,"United States",46450,178,586
2020-03-31,"France",45170,7964,3030
2020-03-31,"Iran",44606,14656,2898
2020-04-10,"Turkey",42282,2142,908
2020-04-04,"United Kingdom",41903,209,4313
2020-03-30,"Iran",41495,12391,2757
2020-03-20,"Italy",41035,4440,3405
2020-03-30,"France",40723,7226,2611
2020-03-26,"Germany",40421,3959,229
2020-03-24,"Spain",39675,3355,2696
2020-03-23,"United States",39183,178,473
2020-03-29,"Iran",38309,12391,2640
2020-04-09,"Turkey",38226,1846,812
2020-04-03,"United Kingdom",38168,192,3605
2020-03-29,"France",38105,5724,2317
